run_name,timestamp,model_name,input_encoding,architecture_scale,num_params,estimated_flops_per_position,epochs_trained,best_epoch,best_score,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,val_accuracy,val_pr_auc,train_samples_per_second,test_samples_per_second,fit_elapsed_seconds,batch_size,learning_rate,epochs_configured,git_commit,config_hash
idea_i043_side_canonical_rule_partition_invariant_bottleneck_seed42,2026-05-10T03:58:54Z,side_canonical_rule_partition_invariant_bottleneck,simple_18,base,652107,70398731,12,11,0.8400327148544068,0.8436047876085426,0.7540409482758621,0.7880067567567568,0.7706497797356828,0.916560514945972,0.8400327148544068,,,14962.175645724768,11791.116489801356,181.42672968655825,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,45eebc8c99f6e58c
idea_i086_differentiable_chess_fact_lattice_seed42,2026-05-10T10:22:22Z,differentiable_chess_fact_lattice,simple_18,base,60174,6169441,12,11,0.8393195502468889,0.8406946726120629,0.7504049676025918,0.7825168918918919,0.7661245865490628,0.915030355090144,0.8393195502468889,,,1526.9266635317135,1658.6533035360003,1647.2312003960833,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,8dde16b22776a0b5
idea_i044_masked_board_code_length_surprise_network_seed42,2026-05-10T04:04:27Z,masked_board_code_length_surprise_network,simple_18,base,372718,55576961,10,9,0.8386173381428995,0.8362825627786904,0.7143195827406353,0.8482545045045045,0.7755469755469755,0.9171076240269211,0.8386173381428995,,,13198.43324294939,11550.678677920954,201.58659031428397,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,8482638fda8269b8
idea_i003_factor_agreement_classifier_seed42,2026-05-09T17:38:48Z,factor_agreement_classifier,simple_18,base,104846,9260078,12,11,0.8383374647904759,0.8265665336775405,0.6882801281343202,0.8771114864864865,0.7713065544346104,0.9159563650510592,0.8383374647904759,,,14405.299185805909,11459.684760309112,187.27797211706638,192,0.001,12,2e03965698dfe824efd0020628d3cc17da37547a,e20b7864a70b60af
idea_i049_tempo_odd_bottleneck_network_seed42,2026-05-10T04:31:12Z,tempo_odd_bottleneck_network,simple_18,base,176382,20442878,11,10,0.8379432880184625,0.8294766486740202,0.7025323841755164,0.8474099099099099,0.7682000893255918,0.9153773083563458,0.8379432880184625,,,15165.384980241592,11656.283825865099,179.74867778085172,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,8a21da0109c1502c
idea_i056_non_puzzle_score_field_bottleneck_network_seed42,2026-05-10T06:19:41Z,non_puzzle_score_field_bottleneck_network,simple_18,base,417891,69853889,10,9,0.8377418926245812,0.8322459516545412,0.7067228859217616,0.8493806306306306,0.7715125942974044,0.9156184964848308,0.8377418926245812,,,12524.107479002689,11376.168200927017,210.0023895399645,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,5002b26b7470c9a5
idea_i005_null_move_contrast_puzzle_network_seed42,2026-05-09T18:00:17Z,null_move_contrast_puzzle_network,simple_18,base,240578,25797379,12,11,0.837726319312321,0.8305562074630368,0.7063548310890622,0.8417792792792793,0.7681438664097624,0.9145715108328876,0.837726319312321,,,13622.22260864375,11088.719119585943,196.67409053165466,128,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,acb4451c7c0c7a7a
idea_i130_material_phase_low_rank_adapter_network_seed42,2026-05-10T14:52:51Z,material_phase_low_rank_adapter_network,simple_18,base,143009,6277825,10,9,0.8368021395451254,0.8315888289134006,0.7088382038488952,0.8399493243243243,0.7688442211055276,0.9146586406886077,0.8368021395451254,,,15110.136231928784,11331.85463677723,180.57475259993225,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,bedd47cdd2348298
idea_i133_orthogonal_board_moment_network_seed42,2026-05-10T15:11:43Z,orthogonal_board_moment_network,simple_18,base,154649,6497441,13,12,0.8359639155702426,0.8146444496597043,0.6683384910895316,0.881615990990991,0.7603034901365706,0.9130347344607124,0.8359639155702426,,,15079.060211018712,11831.16859505589,181.99303848203272,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,7fc48cf8d5a7c419
idea_i131_replicator_payoff_piece_dynamics_seed42,2026-05-10T15:00:21Z,replicator_payoff_piece_dynamics,simple_18,base,89137,25474049,13,12,0.8355592959103848,0.8297113353672847,0.7066096053257251,0.8367117117117117,0.7661768497035318,0.9127022730999783,0.8355592959103848,,,14630.539268995251,11248.571005146334,189.3203690201044,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,79d5bad7246a02e9
idea_i065_piece_token_cnn_hybrid_seed42,2026-05-10T06:51:51Z,piece_token_cnn_hybrid,simple_18,base,252137,13626849,13,12,0.835559178092549,0.8147383243370101,0.6657217847769029,0.8925957207207207,0.762643574478321,0.9143285335190834,0.835559178092549,,,15249.903398387842,12188.18775783391,179.70701117813587,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,4084a477f0275242
idea_i098_baseline_logit_residual_adapter_seed42,2026-05-10T12:20:12Z,baseline_logit_residual_adapter,simple_18,base,83299,6973187,13,12,0.8349949464245319,0.822623797230697,0.6844148641153632,0.8685247747747747,0.7655561759414355,0.913313604517129,0.8349949464245319,,,14955.299327442526,11769.705636778126,182.6751199606806,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,033cef4e1a0fe331
idea_i120_sinkhorn_role_assignment_network_seed42,2026-05-10T14:05:21Z,sinkhorn_role_assignment_network,simple_18,base,158520,7009817,11,10,0.833374835360644,0.822623797230697,0.6876199074596546,0.8576858108108109,0.7632947071719386,0.9115973941690441,0.833374835360644,,,14903.333505914241,11507.596606160743,182.15292924642563,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,edc073fbd6801e27
idea_i069_bitboard_shift_algebra_network_seed42,2026-05-10T07:01:54Z,bitboard_shift_algebra_network,simple_18,base,408009,6666457,12,11,0.8309391505767993,0.8344989439098803,0.7355186940494998,0.7864583333333334,0.7601360544217687,0.9101495517064844,0.8309391505767993,,,6757.086811739499,7913.6808294689245,370.8429802330211,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,dda02a4886648a72
idea_i126_pawn_skeleton_barrier_network_seed42,2026-05-10T14:25:07Z,pawn_skeleton_barrier_network,simple_18,base,261089,27864065,13,12,0.8297587541670889,0.8111710865993899,0.6636218799787573,0.8795045045045045,0.7564622555844784,0.910352938958429,0.8297587541670889,,,14768.138228593469,12430.413750100004,183.8359869532287,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,4560c064fa72ba13
